GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CrudStore,com.mglopez.crudstore.modules.auth.infrastructure.security.filter,JWTokenValidator,57,6,4,0,18,3,3,1,1,1
CrudStore,com.mglopez.crudstore,CrudStoreApplication,5,3,0,0,2,1,1,1,1,1
CrudStore,com.mglopez.crudstore.modules.auth.infrastructure.security,JwtUtils,84,3,0,0,27,1,5,1,5,1
CrudStore,com.mglopez.crudstore.modules.categoria.application.impl,CategoriaServiceImpl,6,155,1,5,0,38,2,11,1,9
CrudStore,com.mglopez.crudstore.modules.auth.api.dtos,AuthLoginRequestDTO,9,0,0,0,1,0,1,0,1,0
CrudStore,com.mglopez.crudstore.modules.auth.api.dtos,AuthCreateRoleRequestDTO,6,0,0,0,1,0,1,0,1,0
CrudStore,com.mglopez.crudstore.modules.auth.api.dtos,AuthResponseDTO,15,0,0,0,1,0,1,0,1,0
CrudStore,com.mglopez.crudstore.modules.auth.api.dtos,AuthCreateUserDTO,12,0,0,0,1,0,1,0,1,0
CrudStore,com.mglopez.crudstore.modules.producto.api,ProductoController,0,47,0,0,0,13,0,7,0,7
CrudStore,com.mglopez.crudstore.modules.auth.domain,RoleEnum,0,27,0,0,0,5,0,1,0,1
CrudStore,com.mglopez.crudstore.modules.categoria.api.dtos,CategoriaResponseDTO,0,18,0,0,0,1,0,1,0,1
CrudStore,com.mglopez.crudstore.modules.categoria.api.dtos,CategoriaCreateDTO,0,9,0,0,0,1,0,1,0,1
CrudStore,com.mglopez.crudstore.modules.auth.infrastructure.config,SecurityConfig,0,154,0,0,0,25,0,11,0,11
CrudStore,com.mglopez.crudstore.modules.producto.application.impl,ProductoServiceImpl,7,192,0,0,2,54,1,12,1,12
CrudStore,com.mglopez.crudstore.modules.auth.application,UserDetailsServiceImpl,248,3,4,0,59,1,14,1,12,1
CrudStore,com.mglopez.crudstore.shared.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
CrudStore,com.mglopez.crudstore.shared.exception,UnauthorizedException,4,0,0,0,2,0,1,0,1,0
CrudStore,com.mglopez.crudstore.shared.exception,GlobalExceptionHandler,42,62,0,0,15,21,3,5,3,5
CrudStore,com.mglopez.crudstore.shared.exception,ErrorResponse,0,15,0,0,0,1,0,1,0,1
CrudStore,com.mglopez.crudstore.shared.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
CrudStore,com.mglopez.crudstore.shared.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
CrudStore,com.mglopez.crudstore.modules.auth.api.controller,AuthenticationController,18,3,0,0,4,1,2,1,2,1
CrudStore,com.mglopez.crudstore.modules.categoria.api,CategoriaController,0,41,0,0,0,10,0,6,0,6
CrudStore,com.mglopez.crudstore.modules.producto.api.dtos,ProductoResponseDTO,0,27,0,0,0,1,0,1,0,1
CrudStore,com.mglopez.crudstore.modules.producto.api.dtos,ProductoCreateDTO,0,15,0,0,0,1,0,1,0,1
CrudStore,com.mglopez.crudstore.config,DataInitializer,0,202,0,0,0,59,0,3,0,3
CrudStore,com.mglopez.crudstore.config,CorsConfig.new WebMvcConfigurer() {...},0,50,0,0,0,7,0,2,0,2
CrudStore,com.mglopez.crudstore.config,SwaggerConfig,3,0,0,0,1,0,1,0,1,0
CrudStore,com.mglopez.crudstore.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
